GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Age 16 to 49 -Unemployed (excluding full-time students) - Ethnic group: Total,Age 16 to 49 - Unemployed (excluding full-time students) - Ethnic group: White,Age 16 to 49 - Unemployed (excluding full-time students) - Ethnic group: Mixed/multiple ethnic group,Age 16 to 49 -Unemployed (excluding full-time students) - Ethnic group: Asian/Asian British,Age 16 to 49 -Unemployed (excluding full-time students) - Ethnic group: Black/African/Caribbean/Black British,Age 16 to 49 - Unemployed (excluding full-time students) - Ethnic group: Other ethnic group,Age 16 to 49 -Unemployed (excluding full-time students) - Ethnic group: Non White,Age 16 to 49 -(%) Unemployed (excluding full-time students) - Ethnic group: Non White
E05000650,Astley Bridge,Wards and Electoral Divisions,WED,311,274,10,22,4,1,37,11.90
E05000651,Bradshaw,Wards and Electoral Divisions,WED,241,218,7,4,11,1,23,9.54
E05000652,Breightmet,Wards and Electoral Divisions,WED,522,500,10,4,6,2,22,4.21
E05000653,Bromley Cross,Wards and Electoral Divisions,WED,169,162,1,4,0,2,7,4.14
E05000654,Crompton,Wards and Electoral Divisions,WED,582,386,22,128,24,22,196,33.68
E05000655,Farnworth,Wards and Electoral Divisions,WED,724,624,22,56,10,12,100,13.81
E05000656,Great Lever,Wards and Electoral Divisions,WED,652,354,19,192,56,31,298,45.71
E05000657,Halliwell,Wards and Electoral Divisions,WED,663,423,21,151,51,17,240,36.20
E05000658,Harper Green,Wards and Electoral Divisions,WED,481,384,9,63,19,6,97,20.17
E05000659,Heaton and Lostock,Wards and Electoral Divisions,WED,184,126,2,52,4,0,58,31.52
E05000660,Horwich and Blackrod,Wards and Electoral Divisions,WED,250,233,8,6,2,1,17,6.80
E05000661,Horwich North East,Wards and Electoral Divisions,WED,264,253,3,4,2,2,11,4.17
E05000662,Hulton,Wards and Electoral Divisions,WED,384,286,18,63,10,7,98,25.52
E05000663,Kearsley,Wards and Electoral Divisions,WED,433,405,4,12,8,4,28,6.47
E05000664,Little Lever and Darcy Lever,Wards and Electoral Divisions,WED,285,266,8,4,5,2,19,6.67
E05000665,Rumworth,Wards and Electoral Divisions,WED,661,266,21,246,80,48,395,59.76
E05000666,Smithills,Wards and Electoral Divisions,WED,414,360,6,30,16,2,54,13.04
E05000667,Tonge with the Haulgh,Wards and Electoral Divisions,WED,549,481,12,29,20,7,68,12.39
E05000668,Westhoughton North and Chew Moor,Wards and Electoral Divisions,WED,232,224,2,4,1,1,8,3.45
E05000669,Westhoughton South,Wards and Electoral Divisions,WED,317,304,4,8,1,0,13,4.10
E05000670,Besses,Wards and Electoral Divisions,WED,341,281,26,13,18,3,60,17.60
E05000671,Church,Wards and Electoral Divisions,WED,182,163,4,10,4,1,19,10.44
E05000672,East,Wards and Electoral Divisions,WED,455,328,10,95,7,15,127,27.91
E05000673,Elton,Wards and Electoral Divisions,WED,262,233,7,11,4,7,29,11.07
E05000674,Holyrood,Wards and Electoral Divisions,WED,243,201,9,22,6,5,42,17.28
E05000675,Moorside,Wards and Electoral Divisions,WED,494,409,10,52,16,7,85,17.21
E05000676,North Manor,Wards and Electoral Divisions,WED,116,108,4,2,2,0,8,6.90
E05000677,Pilkington Park,Wards and Electoral Divisions,WED,173,149,2,15,1,6,24,13.87
E05000678,Radcliffe East,Wards and Electoral Divisions,WED,377,331,15,21,4,6,46,12.20
E05000679,Radcliffe North,Wards and Electoral Divisions,WED,241,221,7,11,1,1,20,8.30
